"","Odds","Odds_id"
"701","7/2",701
"702","7/2",702
"703","6/1",703
"704","13/2",704
"705","7/1",705
"706","8/1",706
"707","7/2",707
"708","4/1",708
"709","5/1",709
"710","11/2",710
"711","6/1",711
"712","6/1",712
"713","7/1",713
"714","7/2",714
"715","4/1",715
"716","5/1",716
"717","5/1",717
"718","6/1",718
"719","13/2",719
"720","7/1",720
"721","4/1",721
"722","4/1",722
"723","5/1",723
"724","11/2",724
"725","13/2",725
"726","7/1",726
"727","7/1",727
"728","7/2",728
"729","4/1",729
"730","5/1",730
"731","11/2",731
"732","13/2",732
"733","7/1",733
"734","7/1",734
"735","10/3",735
"736","9/2",736
"737","11/2",737
"738","11/2",738
"739","6/1",739
"740","7/1",740
"741","6/1",741
"742","7/2",742
"743","4/1",743
"744","5/1",744
"745","11/2",745
"746","13/2",746
"747","7/1",747
"748","15/2",748
"749","4/1",749
"750","4/1",750
"751","4/1",751
"752","11/2",752
"753","13/2",753
"754","7/1",754
"755","7/1",755
"756","7/2",756
"757","9/2",757
"758","9/2",758
"759","6/1",759
"760","7/1",760
"761","7/1",761
"762","8/1",762
"763","7/2",763
"764","4/1",764
"765","9/2",765
"766","11/2",766
"767","13/2",767
"768","7/1",768
"769","15/2",769
"770","7/2",770
"771","4/1",771
"772","9/2",772
"773","11/2",773
"774","13/2",774
"775","7/1",775
"776","15/2",776
"777","7/2",777
"778","4/1",778
"779","4/1",779
"780","11/2",780
"781","6/1",781
"782","7/1",782
"783","15/2",783
"784","7/2",784
"785","4/1",785
"786","5/1",786
"787","5/1",787
"788","6/1",788
"789","13/2",789
"790","7/1",790
"791","7/2",791
"792","4/1",792
"793","9/2",793
"794","11/2",794
"795","13/2",795
"796","7/1",796
"797","15/2",797
"798","7/2",798
"799","4/1",799
"800","9/2",800
"801","11/2",801
"802","13/2",802
"803","7/1",803
"804","15/2",804
"805","7/2",805
"806","4/1",806
"807","9/2",807
"808","11/2",808
"809","13/2",809
"810","7/1",810
"811","15/2",811
"812","7/2",812
"813","21/5",813
"814","29/5",814
"815","26/5",815
"816","6/1",816
"817","33/5",817
"818","34/5",818
"819","7/2",819
"820","21/5",820
"821","6/1",821
"822","26/5",822
"823","6/1",823
"824","33/5",824
"825","34/5",825
